Topic,Keywords
0,"ooo, muchfun, isso, hooray, ahhhh"
1,"good, ig, yea, baby, thank, fixed, one, think, got, try"
2,"player, pc, halo, great, content, new, experience, lot, gunplay, weapon"
3,"love, relationship, hate, please, addicting, euphoria, pure, addicted, countless, crazy"
4,"fun, wow, good, big, glimmer, dunno, dymanic, whoel, comesout, nah"
5,"bungie, activision, year, season, work, content, cant, hour, great, split"
6,"yes, yessssssssssssssssssssssssssssssssssssssssssssssssssssssssssss"
7,"friend, fun, recommend, people, great, met, fp, immersive, way, frends"
8,"pvp, pve, ton, great, amazing, enjoyable, content, lot, nice, love"
9,"girlfriend, changed, played, fun, friend, penis, playing, enjoy, none, life"
10,"best, better, recommended, cantot, verygood, showered, sex, rust, bestiny, anthem"
11,"friend, solo, raid, clan, group, playing, community, launch, game, awesome"
12,"new, content, want, time, weapon, year, raid, get, something, dont"
13,"shoot, gun, jump, shooter, mhm, pew, best, bang, shooty, mmofps"
14,"received, product, free, sexy, guac, devs, god, againbest, alr, gae"
15,"looter, shooter, genre, enjoy, recommend, base, free, lootershooter, good, fantastic"
16,"fps, game, ive, best, played, try, gunplay, free, recommend, graphic"
17,"decent, pretty, good, gay, solid, quite, kinda, seems, people, autistic"
18,"dlcs, dlc, expansion, sale, need, buy, price, player, transfer, get"
19,"gud, poggers, pog, nice, goodd, ddddddd, yum, gaem, saas, savathuns"
20,"graphic, nice, story, good, line, combat, visuals, excellent, storylinee, gamee"
21,"grindy, grind, friend, fun, people, cause, say, good, gon, overall"
22,"great, ok, others, perfect"
23,"cool, dope, awesome, idk, period, yeah, look, pretty"
24,"amazing, wow, niiiice, friggin, lord, rate, praise, seen, enjoyed, fantastic"
25,"steam, battlenet, ruin, hacker, platform, played, hour, chance, tell, glad"
26,"grind, quest, load, farming, enjoy, fun, learning, new, praying, overall"
27,"received, product, free, dcv, fun, friend, learning, grind, easy, shadow"
28,"nice, tbh"
29,False
